ns	from	to	predicate	reverse
skills.org.ai	https://skills.org.ai/2B3e	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3g	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3h	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3j	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3k	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3l	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3m	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4e	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4g	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4h	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5a	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5b	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5c	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5d	https://onet.org.ai/Occupation/25-102200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1a	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1b	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1c	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1d	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1e	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1f	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2a	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2b	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2c	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2d	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1a	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1b	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1c	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1d	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1e	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1f	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B2i	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3a	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3b	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3c	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3d	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3e	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3g	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3h	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3j	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3k	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3l	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3m	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4e	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4g	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4h	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5a	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5b	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5c	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5d	https://onet.org.ai/Occupation/25-103100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1a	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1b	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1c	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1d	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1e	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1f	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2a	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2b	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2c	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2d	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1a	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1b	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1c	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1d	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1e	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1f	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B2i	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3a	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3b	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3c	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3d	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3e	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3g	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3h	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3j	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3k	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3l	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3m	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4e	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4g	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4h	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5a	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5b	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5c	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5d	https://onet.org.ai/Occupation/25-103200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1a	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1b	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1c	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1d	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1e	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1f	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2a	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2b	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2c	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2d	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1a	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1b	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1c	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1d	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1e	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1f	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B2i	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3a	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3b	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3c	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3d	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3e	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3g	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3h	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3j	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3k	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3l	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3m	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4e	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4g	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4h	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5a	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5b	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5c	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B5d	https://onet.org.ai/Occupation/25-104100	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1a	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1b	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1c	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1d	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1e	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A1f	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2a	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2b	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2c	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2A2d	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1a	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1b	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1c	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1d	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1e	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B1f	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B2i	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3a	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3b	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3c	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3d	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3e	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3g	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3h	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3j	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3k	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3l	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B3m	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
skills.org.ai	https://skills.org.ai/2B4e	https://onet.org.ai/Occupation/25-104200	requiredByOccupation	requiresSkill
